Metric,RAG_Score,LLM_Socre
ttr_scores 词汇丰富度,"[0.74, 0.81, 0.7, 0.8, 0.76, 0.73, 0.83, 0.8, 0.79, 0.72]","[0.68, 0.83, 0.79, 0.85, 0.75, 0.81, 0.77, 0.76, 0.78, 0.75]"
keyword_matches 关键词匹配,"[0.75, 0.58, 0.73, 0.56, 0.7, 0.76, 0.71, 0.6, 0.4, 0.64]","[0.62, 0.58, 0.67, 0.5, 0.7, 0.59, 0.43, 0.6, 0.53, 0.5]"
freq_similarities 词频分布余弦相似度,"[0.56, 0.29, 0.22, 0.34, 0.46, 0.41, 0.5, 0.42, 0.28, 0.34]","[0.43, 0.23, 0.25, 0.25, 0.41, 0.28, 0.22, 0.27, 0.29, 0.15]"
perplexities 困惑度,"[31.77, 10.41, 9.53, 16.09, 7.7, 7.47, 15.86, 15.36, 12.03, 13.05]","[12.34, 6.75, 15.44, 14.6, 9.37, 11.57, 10.56, 7.8, 13.64, 7.6]"
LLM选择,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Metric,RAG_Score,LLM_Socre
ttr_scores 词汇丰富度,"[0.61, 0.79, 0.5, 0.66, 0.72, 0.6, 1.0, 0.72, 0.75, 1.0]","[0.56, 0.73, 0.66, 0.78, 0.8, 0.73, 0.85, 0.74, 0.71, 0.86]"
keyword_matches 关键词匹配,"[0.55, 0.5, 0.5, 0.45, 0.5, 0.64, 0.6, 0.69, 0.44, 0.67]","[0.45, 0.5, 0.42, 0.36, 0.3, 0.36, 0.6, 0.46, 0.44, 0.67]"
freq_similarities 词频分布余弦相似度,"[0.31, 0.32, 0.25, 0.21, 0.22, 0.29, 0.61, 0.44, 0.21, 0.63]","[0.26, 0.26, 0.19, 0.2, 0.09, 0.16, 0.41, 0.31, 0.11, 0.39]"
perplexities 困惑度,"[8.69, 6.53, 9.33, 8.68, 9.15, 7.61, 282.3, 9.84, 8.29, 44.96]","[7.73, 5.55, 8.96, 9.16, 18.9, 7.27, 21.51, 8.98, 7.76, 12.72]"
LLM选择,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Metric,RAG_Score,LLM_Socre
ttr_scores 词汇丰富度,"[0.85, 0.66, 0.87, 0.54, 0.68, 0.7, 0.7, 0.6, 0.63, 0.92]","[0.75, 0.69, 0.86, 0.77, 0.75, 0.81, 0.8, 0.73, 0.77, 0.74]"
