Metric,RAG_Score,LLM_Socre
perplexities 困惑度,"[11.0, 18.46, 14.57, 14.14, 6.48, 13.47, 8.97, 9.22, 10.33, 10.23, 8.0, 10.45]","[6.41, 7.98, 8.51, 9.6, 9.73, 11.24, 10.43, 9.31, 9.66, 7.59, 9.03, 9.46]"
LLM选择,"[1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0]","[0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1]"
Metric,RAG_Score,LLM_Socre
perplexities 困惑度,"[7.32, 12.16, 11.86, 11.73, 13.16, 5.82, 9.48, 13.89, 7.04, 5.71, 7.23, 4.97]","[5.77, 9.09, 8.1, 9.76, 7.14, 6.4, 5.75, 13.32, 6.41, 6.33, 5.25, 8.97]"
LLM选择,"[1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0]"
Metric,RAG_Score,LLM_Socre
perplexities 困惑度,"[7.72, 8.5, 71.19, 5.99, 12.28, 12.72, 11.76, 9.94]","[6.66, 4.88, 7.45, 7.31, 8.36, 9.62, 9.81, 5.17]"
LLM选择,"[1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0]"
Metric,RAG_Score,LLM_Socre
perplexities 困惑度,"[5.49, 5.33, 8.54, 18.38, 5.77, 10.83, 8.68, 5.21]","[8.43, 8.5, 5.68, 9.73, 5.78, 7.8, 6.7, 6.95]"
LLM选择,"[1, 1, 1, 1, 1, 0, 1, 1]","[0, 0, 0, 0, 0, 1, 0, 0]"
Metric,RAG_Score,LLM_Socre
perplexities 困惑度,"[12.41, 7.36, 7.58, 8.04, 7.06, 5.75, 10.31, 6.89]","[7.88, 8.65, 10.22, 6.49, 7.12, 7.19, 6.94, 5.26]"
LLM选择,"[1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0]"
Metric,RAG_Score,LLM_Socre
perplexities 困惑度,"[7.19, 10.94, 8.32, 10.79, 6.78, 9.07, 7.25, 8.42]","[7.86, 6.78, 7.77, 9.61, 6.21, 7.4, 7.86, 5.47]"
LLM选择,"[1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0]"
Metric,RAG_Score,LLM_Socre
perplexities 困惑度,"[6.75, 24.19, 18.57, 10.16, 13.85, 8.28, 17.33, 12.64]","[11.32, 13.06, 10.37, 10.38, 9.97, 6.69, 4.79, 4.45]"
LLM选择,"[1, 0, 1, 1, 1, 1, 1, 1]","[0, 1, 0, 0, 0, 0, 0, 0]"
Metric,RAG_Score,LLM_Socre
perplexities 困惑度,"[13.91, 11.91, 8.59, 6.32, 5.59, 9.31, 76.99, 59.39]","[7.21, 8.44, 5.84, 8.82, 7.51, 8.04, 7.9, 7.32]"
LLM选择,"[1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0]"
Metric,RAG_Score,LLM_Socre
perplexities 困惑度,"[9.05, 5.33, 5.64, 6.08, 9.71, 4.85, 9.95, 6.76]","[7.61, 7.53, 7.59, 5.97, 6.97, 5.64, 7.47, 6.12]"
LLM选择,"[1, 1, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 1, 0]"
Metric,RAG_Score,LLM_Socre
perplexities 困惑度,"[14.49, 6.13, 20.05, 5.66, 11.03, 8.34, 30.03, 11.75]","[5.54, 9.42, 6.99, 8.02, 6.98, 7.32, 12.19, 12.43]"
LLM选择,"[1, 1, 1, 1, 0, 1, 1, 1]","[0, 0, 0, 0, 1, 0, 0, 0]"
Metric,RAG_Score,LLM_Socre
perplexities 困惑度,"[6.01, 7.46, 14.64, 11.55, 6.57, 9.93, 6.46, 11.56]","[6.62, 8.84, 6.47, 7.01, 6.34, 7.49, 7.27, 5.64]"
LLM选择,"[1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0]"
Metric,RAG_Score,LLM_Socre
perplexities 困惑度,"[9.51, 7.12, 8.14, 14.72, 11.04, 8.96, 10.65, 7.71]","[7.81, 8.79, 9.21, 11.87, 9.38, 9.11, 8.87, 6.01]"
LLM选择,"[1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0]"
Metric,RAG_Score,LLM_Socre
perplexities 困惑度,"[7.25, 31.21, 5.28, 8.26, 10.41, 9.01, 12.37, 10.39]","[6.58, 9.16, 6.84, 9.23, 10.32, 8.23, 10.39, 11.24]"
LLM选择,"[1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0]"
Metric,RAG_Score,LLM_Socre
perplexities 困惑度,"[9.66, 7.42, 8.97, 14.9, 13.02, 13.05, 5.49, 9.74]","[6.37, 7.49, 11.23, 11.2, 7.11, 7.73, 6.3, 6.82]"
LLM选择,"[0, 1, 1, 1, 1, 1, 1, 0]","[1, 0, 0, 0, 0, 0, 0, 1]"
Metric,RAG_Score,LLM_Socre
perplexities 困惑度,"[4.49, 24.69, 6.58, 9.76, 16.82, 5.45, 7.78, 6.75]","[6.19, 7.95, 9.65, 8.65, 8.48, 8.46, 6.61, 9.78]"
LLM选择,"[1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0]"
Metric,RAG_Score,LLM_Socre
perplexities 困惑度,"[14.4, 12.04, 35.46, 12.52, 82.39, 14.13, 10.21, 8.35]","[8.53, 16.54, 10.24, 8.06, 21.55, 13.22, 6.92, 6.66]"
LLM选择,"[1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0]"
Metric,RAG_Score,LLM_Socre
perplexities 困惑度,"[7.25, 75.05, 10.95, 12.51, 9.18, 9.49, 6.45, 22.9]","[8.98, 7.91, 6.78, 6.29, 9.77, 8.08, 7.4, 7.15]"
LLM选择,"[1, 0, 1, 1, 1, 1, 1, 0]","[0, 1, 0, 0, 0, 0, 0, 1]"
Metric,RAG_Score,LLM_Socre
perplexities 困惑度,"[10.26, 11.64, 14.69, 9.0, 7.68, 10.87, 5.9, 8.83]","[7.45, 8.79, 8.77, 10.49, 10.69, 10.05, 6.47, 10.7]"
LLM选择,"[1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0]"
Metric,RAG_Score,LLM_Socre
