Metric,RAG_Score,LLM_Socre
ttr_scores 词汇丰富度,"[0.67, 0.55, 0.58, 0.84, 0.92]","[0.79, 0.75, 0.69, 0.71, 0.74]"
keyword_matches 关键词匹配,"[0.5, 0.57, 0.58, 0.47, 0.76]","[0.5, 0.57, 0.5, 0.71, 0.41]"
freq_similarities 词频分布余弦相似度,"[0.14, 0.37, 0.24, 0.33, 0.56]","[0.14, 0.36, 0.17, 0.41, 0.19]"
perplexities 困惑度,"[8.49, 8.36, 4.04, 13.02, 26.82]","[10.15, 15.59, 10.13, 9.67, 17.29]"
LLM选择,"[1, 0, 1, 1, 1]","[0, 1, 0, 0, 0]"

Metric,RAG_Score,LLM_Socre
ttr_scores 词汇丰富度,"[0.73, 0.83, 0.76, 0.8, 0.65]","[0.77, 0.8, 0.78, 0.76, 0.76]"
keyword_matches 关键词匹配,"[0.5, 0.57, 0.64, 0.55, 0.76]","[0.5, 0.64, 0.55, 0.27, 0.65]"
freq_similarities 词频分布余弦相似度,"[0.21, 0.23, 0.26, 0.3, 0.24]","[0.28, 0.22, 0.21, 0.11, 0.2]"
perplexities 困惑度,"[21.03, 22.01, 12.29, 11.65, 9.96]","[9.86, 11.03, 14.18, 10.09, 11.6]"
LLM选择,"[0, 1, 1, 1, 1]","[1, 0, 0, 0, 0]"

Metric,RAG_Score,LLM_Socre
ttr_scores 词汇丰富度,"[0.68, 0.57, 0.62, 0.77, 0.79]","[0.76, 0.6, 0.8, 0.67, 0.75]"
keyword_matches 关键词匹配,"[0.71, 0.76, 0.83, 0.78, 0.61]","[0.65, 0.59, 0.7, 0.78, 0.61]"
freq_similarities 词频分布余弦相似度,"[0.22, 0.5, 0.25, 0.38, 0.39]","[0.22, 0.45, 0.28, 0.38, 0.4]"
perplexities 困惑度,"[11.25, 7.14, 9.41, 13.72, 11.11]","[9.63, 8.31, 13.07, 9.68, 12.24]"
LLM选择,"[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]"

Metric,RAG_Score,LLM_Socre
ttr_scores 词汇丰富度,"[0.76, 0.85, 0.77, 0.76, 0.81]","[0.73, 0.75, 0.78, 0.83, 0.72]"
keyword_matches 关键词匹配,"[0.67, 0.43, 0.44, 0.44, 0.5]","[0.67, 0.57, 0.31, 0.44, 0.28]"
freq_similarities 词频分布余弦相似度,"[0.22, 0.3, 0.26, 0.35, 0.29]","[0.27, 0.45, 0.16, 0.27, 0.28]"
perplexities 困惑度,"[7.08, 17.03, 10.14, 13.89, 16.91]","[8.14, 15.62, 9.16, 13.11, 10.13]"
LLM选择,"[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]"

Metric,RAG_Score,LLM_Socre
ttr_scores 词汇丰富度,"[0.73, 0.67, 0.57, 0.67, 0.78]","[0.79, 0.77, 0.71, 0.84, 0.7]"
keyword_matches 关键词匹配,"[0.22, 0.6, 0.62, 0.64, 0.74]","[0.22, 0.3, 0.46, 0.57, 0.68]"
freq_similarities 词频分布余弦相似度,"[0.09, 0.24, 0.34, 0.35, 0.6]","[0.1, 0.21, 0.26, 0.22, 0.52]"
perplexities 困惑度,"[8.13, 7.66, 8.18, 13.14, 20.77]","[14.25, 10.52, 12.36, 12.82, 8.92]"
LLM选择,"[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]"

Metric,RAG_Score,LLM_Socre
ttr_scores 词汇丰富度,"[0.78, 0.63, 0.62, 0.79, 0.73]","[0.71, 0.81, 0.78, 0.77, 0.7]"
keyword_matches 关键词匹配,"[0.67, 0.64, 0.72, 0.74, 0.6]","[0.67, 0.29, 0.44, 0.47, 0.5]"
freq_similarities 词频分布余弦相似度,"[0.21, 0.26, 0.37, 0.38, 0.35]","[0.25, 0.16, 0.29, 0.28, 0.26]"
perplexities 困惑度,"[7.61, 5.75, 6.31, 7.75, 15.71]","[10.38, 11.23, 12.48, 9.46, 10.45]"
LLM选择,"[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]"

Metric,RAG_Score,LLM_Socre
ttr_scores 词汇丰富度,"[0.73, 0.69, 0.77, 0.66, 0.68]","[0.78, 0.72, 0.81, 0.63, 0.69]"
keyword_matches 关键词匹配,"[0.62, 0.76, 0.5, 0.44, 0.71]","[0.38, 0.65, 0.56, 0.44, 0.71]"
freq_similarities 词频分布余弦相似度,"[0.3, 0.38, 0.26, 0.15, 0.44]","[0.3, 0.38, 0.22, 0.14, 0.67]"
perplexities 困惑度,"[6.62, 10.35, 16.57, 7.0, 13.76]","[6.41, 6.96, 8.89, 8.42, 9.08]"
LLM选择,"[1, 1, 1, 0, 1]","[0, 0, 0, 1, 0]"

Metric,RAG_Score,LLM_Socre
ttr_scores 词汇丰富度,"[0.84, 0.77, 0.76, 0.88, 0.82]","[0.74, 0.81, 0.74, 0.8, 0.81]"
keyword_matches 关键词匹配,"[0.38, 0.71, 0.59, 0.54, 0.58]","[0.62, 0.36, 0.35, 0.54, 0.5]"
freq_similarities 词频分布余弦相似度,"[0.15, 0.31, 0.51, 0.34, 0.27]","[0.27, 0.14, 0.25, 0.28, 0.27]"
perplexities 困惑度,"[21.88, 16.88, 11.82, 19.43, 7.99]","[9.69, 15.02, 10.81, 10.2, 8.87]"
LLM选择,"[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]"

Metric,RAG_Score,LLM_Socre
ttr_scores 词汇丰富度,"[0.73, 0.91, 0.75, 0.64, 0.84]","[0.73, 0.75, 0.64, 0.79, 0.7]"
keyword_matches 关键词匹配,"[0.45, 0.65, 0.4, 0.75, 0.58]","[0.27, 0.59, 0.33, 0.44, 0.32]"
freq_similarities 词频分布余弦相似度,"[0.1, 0.36, 0.26, 0.36, 0.35]","[0.06, 0.28, 0.23, 0.34, 0.32]"
perplexities 困惑度,"[20.93, 11.08, 8.32, 6.62, 20.61]","[8.26, 8.15, 10.33, 9.41, 11.12]"
LLM选择,"[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]"

Metric,RAG_Score,LLM_Socre
ttr_scores 词汇丰富度,"[0.77, 0.71, 0.81, 0.86, 0.72]","[0.73, 0.8, 0.77, 0.81, 0.81]"
keyword_matches 关键词匹配,"[0.62, 0.64, 0.76, 0.7, 0.76]","[0.46, 0.55, 0.71, 0.61, 0.76]"
freq_similarities 词频分布余弦相似度,"[0.43, 0.3, 0.54, 0.51, 0.49]","[0.28, 0.24, 0.34, 0.37, 0.39]"
perplexities 困惑度,"[9.5, 10.45, 18.41, 31.24, 18.74]","[7.16, 12.91, 9.28, 18.71, 15.44]"
LLM选择,"[1, 1, 0, 1, 1]","[0, 0, 1, 0, 0]"

Metric,RAG_Score,LLM_Socre
ttr_scores 词汇丰富度,"[0.61, 0.68, 0.78, 0.85, 0.65]","[0.7, 0.81, 0.79, 0.78, 0.76]"
keyword_matches 关键词匹配,"[0.45, 0.7, 0.63, 0.7, 0.64]","[0.45, 0.45, 0.53, 0.57, 0.64]"
freq_similarities 词频分布余弦相似度,"[0.27, 0.4, 0.33, 0.64, 0.31]","[0.16, 0.17, 0.3, 0.48, 0.19]"
perplexities 困惑度,"[11.06, 11.68, 8.88, 15.66, 13.62]","[10.79, 14.71, 10.82, 8.85, 9.31]"
LLM选择,"[1, 1, 1, 0, 1]","[0, 0, 0, 1, 0]"

Metric,RAG_Score,LLM_Socre
ttr_scores 词汇丰富度,"[0.78, 0.81, 0.75, 0.58, 0.76]","[0.7, 0.6, 0.72, 0.7, 0.76]"
